Ticker,Name,Exchange,Last Trade Date
A,Agilent Technologies Inc.,NYSE,2015-11-20
AA,Alcoa Inc.,NYSE,2015-11-20
AA.P,Alcoa Inc. $3.75 pfd,NYSE MKT,2015-11-20
AA.P.B,AA.P.B,NYSE,2015-11-20
AAAP,Advanced Accelerator Applications SA,NASDAQ,2015-11-20
AAC,AAC Holdings Inc,NYSE,2015-11-20
AADR,WCM/BNY Mellon Focused Growth ADS ETF,NYSE Arca,2015-11-20
AAL,American Airlines Group Inc.,NASDAQ,2015-11-20
AAMC,Altisource Asset Management,NYSE MKT,2015-11-20
AAME,Atlantic American Corp.,NASDAQ,2015-11-20
AAN,Aaron's Inc.,NYSE,2015-11-20
AAOI,Applied Optoelectronics Inc,NASDAQ,2015-11-20
AAON,AAON Inc.,NASDAQ,2015-11-20
AAP,Advance Auto Parts Inc,NYSE,2015-11-20
AAPC,Atlantic Alliance Partnership Corp,NASDAQ,2015-11-19
AAPL,Apple Inc,NASDAQ,2015-11-20
AAT,American Assets Trust Inc.,NYSE,2015-11-20
AAU,Almaden Minerals Ltd.,NYSE MKT,2015-11-20
AAV,Advantage Oil & Gas Ltd.,NYSE,2015-11-20
AAVL,Avalanche Biotechnologies Inc.,NASDAQ,2015-11-20
AAWW,Atlas Air Worldwide Holdings NEW,NASDAQ,2015-11-20
AAXJ,iShares MSCI All Country Asia ex Japan Index Fund,NASDAQ,2015-11-20
AB,AllianceBernstein Holding L P Unit Ltd Partnership Interests,NYSE,2015-11-20
ABAC,Aoxin Tianli Group Inc,NASDAQ,2015-11-20
ABAX,Abaxis Inc.,NASDAQ,2015-11-20
ABB,ABB Ltd. ADS,NYSE,2015-11-20
ABBV,AbbVie Inc.,NYSE,2015-11-20
ABC,AmerisourceBergen Corp.,NYSE,2015-11-20
ABCB,Ameris Bancorp,NASDAQ,2015-11-20
ABCD,Cambium Learning Group Inc.,NASDAQ,2015-11-20
ABCO,Advisory Board Company,NASDAQ,2015-11-20
ABCW,Anchor BanCorp Wisconsin Inc (DE),NASDAQ,2015-11-20
ABDC,Alcentra Capital Corp,NASDAQ,2015-11-20
ABE,Aberdeen Emerging Markets Smaller Company Opportunities Fund Inc.,NYSE MKT,2015-11-20
ABEO,ABEO,NASDAQ,2015-11-20
ABEOW,ABEOW,NASDAQ,2015-11-20
ABEV,Ambev SA ADR (Sponsored),NYSE,2015-11-20
ABG,Asbury Automotive Group Inc.,NYSE,2015-11-20
ABGB,Abengoa S.A. ADR (Sponsored) Repstg Cl B Shs,NASDAQ,2015-11-20
ABIO,ARCA biopharma Inc.,NASDAQ,2015-11-20
ABM,ABM Industries Inc.,NYSE,2015-11-20
ABMD,ABIOMED Inc.,NASDAQ,2015-11-20
ABR,Arbor Realty Trust Inc,NYSE,2015-11-20
ABR.P.A,Arbor Realty Trust Inc Pfd Ser A%,NYSE,2015-11-19
ABR.P.B,Arbor Realty Trust Inc Cum Redeemable Pfd Ser B,NYSE,2015-11-20
ABR.P.C,Arbor Realty Trust Inc Cum Redeemable Pfd Ser C,NYSE,2015-11-20
ABRN,Arbor Realty Trust Inc 7.375% Sr Nts 2021,NYSE,2015-11-20
ABT,Abbott Laboratories,NYSE,2015-11-20
ABTL,Autobytel Inc.,NASDAQ,2015-11-20
ABTX,Allegiance Bancshares Inc,NASDAQ,2015-11-20
ABUS,Arbutus Biopharma Corp,NASDAQ,2015-11-20
ABX,Barrick Gold Corp.,NYSE,2015-11-20
ABY,Abengoa Yield Plc,NASDAQ,2015-11-20
AC.WD,Associated Capital Group Inc,NYSE,2015-11-19
ACAD,ACADIA Pharmaceuticals Inc.,NASDAQ,2015-11-20
ACAS,American Capital Ltd.,NASDAQ,2015-11-20
ACAT,Arctic Cat Inc,NASDAQ,2015-11-20
ACBI,Atlantic Capital Bancshares Inc.,NASDAQ,2015-11-20
ACC,American Campus Communities Inc,NYSE,2015-11-20
ACCO,ACCO Brands,NYSE,2015-11-20
ACE,ACE Ltd,NYSE,2015-11-20
ACET,Aceto Corp.,NASDAQ,2015-11-20
ACFC,Atlantic Coast Financial Corporation,NASDAQ,2015-11-20
ACG,AllianceBernstein Income Fund,NYSE,2015-11-20
ACGL,Arch Capital Group Ltd.,NASDAQ,2015-11-20
ACH,Aluminum Corporation of China ADS,NYSE,2015-11-20
ACHC,Acadia Healthcare Company Inc.,NASDAQ,2015-11-20
ACHN,Achillion Pharmaceuticals Inc.,NASDAQ,2015-11-20
ACI,Arch Coal Inc.,NYSE,2015-11-20
ACIM,SPDR MSCI ACWI IMI ETF,NYSE Arca,2015-11-20
ACIW,ACI Worldwide Inc,NASDAQ,2015-11-20
ACLS,Axcelis Technologies Inc.,NASDAQ,2015-11-20
ACM,AECOM,NYSE,2015-11-20
ACN,Accenture plc,NYSE,2015-11-20
ACNB,ACNB Corporation,NASDAQ,2015-11-20
ACOR,Acorda Therapeutics Inc.,NASDAQ,2015-11-20
ACP,Avenue Income Credit Strategies Fund,NYSE,2015-11-20
ACPW,Active Power Inc.,NASDAQ,2015-11-20
ACRE,Ares Commercial Real Estate Corp,NYSE,2015-11-20
ACRS,Aclaris Therapeutics Inc,NASDAQ,2015-11-20
ACRX,AcelRx Pharmaceuticals Inc.,NASDAQ,2015-11-20
ACSF,American Capital Senior Floating Ltd Com,NASDAQ,2015-11-20
ACST,Acasti Pharma Inc,NASDAQ,2015-11-20
ACTA,Actua Corp,NASDAQ,2015-11-20
ACTG,Acacia Research Corp.,NASDAQ,2015-11-20
ACTS,Actions Semiconductor Co Ltd ADR,NASDAQ,2015-11-20
ACTX,Global X Guru(TM) Activist ETF,NASDAQ,2015-11-19
ACU,Acme United Corp.,NYSE MKT,2015-11-20
ACUR,Acura Pharmaceuticals Inc.,NASDAQ,2015-11-20
ACV,AllianzGI Diversified Income & Convertible Fund Com,NYSE,2015-11-20
ACW,Accuride Corp.,NYSE,2015-11-20
ACWF,iShares Trust FactorSelect MSCI Global ETF,NYSE Arca,2015-11-20
ACWI,iShares MSCI ACWI Index Fund,NASDAQ,2015-11-20
ACWV,iShares MSCI All Country World Minimum Volatility Index Fund,NYSE Arca,2015-11-20
ACWX,iShares MSCI ACWI Ex US Index Fund,NASDAQ,2015-11-20
ACXM,Acxiom Corporation,NASDAQ,2015-11-20
ACY,Aerocentury Corp.,NYSE MKT,2015-11-20
ADAP,Adaptimmune Therapeutics PLC ADR (Sponsored),NASDAQ,2015-11-20
ADAT,Authentidate Holding Corp.,NASDAQ,2015-11-20
ADBE,Adobe Systems Incorporated,NASDAQ,2015-11-20
ADC,Agree Realty Corp.,NYSE,2015-11-20
ADEP,Adept Technology Inc.,NASDAQ,2015-10-23
ADGE,American DG Energy Inc.,NYSE MKT,2015-11-20
ADHD,Alcobra Ltd.,NASDAQ,2015-11-20
ADI,Analog Devices Inc.,NASDAQ,2015-11-20
ADK,AdCare Health Systems Inc.,NYSE MKT,2015-11-20
ADK.P.A,Adcare Health Systems Inc Pfd.,NYSE MKT,2015-11-20
ADM,Archer Daniels Midland Co.,NYSE,2015-11-20
ADMA,ADMA Biologics Inc,NASDAQ,2015-11-20
ADMP,ADAMIS PHARMS CO,NASDAQ,2015-11-20
ADMS,Adamas Pharmaceuticals Inc,NASDAQ,2015-11-20
